instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr_hour,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,instant_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,season_label,year_label
1,01/01/2011,Spring,2011,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
2,01/01/2011,Spring,2011,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
3,01/01/2011,Spring,2011,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
4,01/01/2011,Spring,2011,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
5,01/01/2011,Spring,2011,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
6,01/01/2011,Spring,2011,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
7,01/01/2011,Spring,2011,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
8,01/01/2011,Spring,2011,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
9,01/01/2011,Spring,2011,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
10,01/01/2011,Spring,2011,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
11,01/01/2011,Spring,2011,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
12,01/01/2011,Spring,2011,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
13,01/01/2011,Spring,2011,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
14,01/01/2011,Spring,2011,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
15,01/01/2011,Spring,2011,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
16,01/01/2011,Spring,2011,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
17,01/01/2011,Spring,2011,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
18,01/01/2011,Spring,2011,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
19,01/01/2011,Spring,2011,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
20,01/01/2011,Spring,2011,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
21,01/01/2011,Spring,2011,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
22,01/01/2011,Spring,2011,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
23,01/01/2011,Spring,2011,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
24,01/01/2011,Spring,2011,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,1,Spring,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,,
25,02/01/2011,Spring,2011,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
26,02/01/2011,Spring,2011,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
27,02/01/2011,Spring,2011,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
28,02/01/2011,Spring,2011,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
29,02/01/2011,Spring,2011,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
30,02/01/2011,Spring,2011,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
31,02/01/2011,Spring,2011,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
32,02/01/2011,Spring,2011,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
33,02/01/2011,Spring,2011,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
34,02/01/2011,Spring,2011,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
35,02/01/2011,Spring,2011,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
36,02/01/2011,Spring,2011,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
37,02/01/2011,Spring,2011,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
38,02/01/2011,Spring,2011,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
39,02/01/2011,Spring,2011,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
40,02/01/2011,Spring,2011,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
41,02/01/2011,Spring,2011,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
42,02/01/2011,Spring,2011,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
43,02/01/2011,Spring,2011,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
44,02/01/2011,Spring,2011,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
45,02/01/2011,Spring,2011,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
46,02/01/2011,Spring,2011,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
47,02/01/2011,Spring,2011,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2,Spring,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,,
48,03/01/2011,Spring,2011,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
49,03/01/2011,Spring,2011,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
50,03/01/2011,Spring,2011,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
51,03/01/2011,Spring,2011,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
52,03/01/2011,Spring,2011,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
53,03/01/2011,Spring,2011,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
54,03/01/2011,Spring,2011,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
55,03/01/2011,Spring,2011,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
56,03/01/2011,Spring,2011,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
57,03/01/2011,Spring,2011,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
58,03/01/2011,Spring,2011,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
59,03/01/2011,Spring,2011,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
60,03/01/2011,Spring,2011,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
61,03/01/2011,Spring,2011,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
62,03/01/2011,Spring,2011,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,3,Spring,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,,
